s,c_H_1_1,c_H_1_2,c_H_2_1,c_H_2_2,c_G_1_1,c_G_1_2,c_G_2_1,c_G_2_2,c_F,obj_value,h_1_1,h_1_2,h_2_1,h_2_2,g_1_1_t[1],g_1_1_t[2],g_1_1_t[3],g_1_2_t[1],g_1_2_t[2],g_1_2_t[3],g_2_1_t[1],g_2_1_t[2],g_2_1_t[3],g_2_2_t[1],g_2_2_t[2],g_2_2_t[3],f_t [1],f_t[2],f_t[3],F,count no of cells with non zero values
98,1,1,1,1,3,3,1,1,1,62,0,0,0,20,0,0,0,0,0,0,0,0,0,2,10,20,-1,-5,-10,10,1
99,1,1,1,1,1,3,3,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
100,1,1,1,1,1,1,3,3,1,62,0,20,0,0,0,0,0,2,10,20,0,0,0,0,0,0,1,5,10,10,1
101,1,1,1,1,1,1,1,3,3,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
102,4,4,1,1,1,1,1,1,1,62,0,0,0,20,0,0,0,0,0,0,0,0,0,2,10,20,-1,-5,-10,10,1
103,1,4,4,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
104,1,1,4,4,1,1,1,1,1,62,0,20,0,0,0,0,0,2,10,20,0,0,0,0,0,0,1,5,10,10,1
105,1,1,1,4,4,1,1,1,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
106,1,1,1,1,4,4,1,1,1,62,0,0,0,20,0,0,0,0,0,0,0,0,0,2,10,20,-1,-5,-10,10,1
107,1,1,1,1,1,4,4,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
108,1,1,1,1,1,1,4,4,1,62,0,20,0,0,0,0,0,2,10,20,0,0,0,0,0,0,1,5,10,10,1
109,1,1,1,1,1,1,1,4,4,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
